classe,imagem,mse,psnr,brisque
notumor,no-0500.jpg,7108.606,9.613,46.6074
notumor,no-0501.jpg,8847.5497,8.6626,48.5229
notumor,no-0502.jpg,6412.4994,10.0605,29.18
notumor,no-0503.jpg,7472.41,9.3962,36.8374
notumor,no-0504.jpg,8722.0655,8.7246,69.6232
notumor,no-0505.jpg,5272.3363,10.9108,16.9197
notumor,no-0506.jpg,16347.3335,5.9963,48.7198
notumor,no-0507.jpg,7079.7964,9.6306,23.3707
notumor,no-0508.jpg,8369.8787,8.9036,29.8386
notumor,no-0509.jpg,4272.3251,11.8242,49.1204
notumor,no-0510.jpg,10451.002,7.9392,32.6148
notumor,no-0511.jpg,3549.5734,12.629,51.472
notumor,no-0512.jpg,6271.5405,10.1571,42.0637
notumor,no-0513.jpg,947.1293,18.3667,48.189
notumor,no-0514.jpg,12113.8356,7.298,32.5406
notumor,no-0515.jpg,6749.1623,9.8383,22.578
notumor,no-0516.jpg,8028.005,9.0847,37.4393
notumor,no-0517.jpg,14502.0258,6.5165,41.7878
notumor,no-0518.jpg,4860.3406,11.2641,38.8565
notumor,no-0519.jpg,5254.0128,10.9259,17.6769
notumor,no-0520.jpg,8736.6565,8.7174,15.539
notumor,no-0521.jpg,6240.1135,10.1789,36.5652
notumor,no-0522.jpg,5304.0047,10.8848,11.7136
notumor,no-0523.jpg,6271.5405,10.1571,42.0637
notumor,no-0524.jpg,9976.3891,8.1411,54.4009
notumor,no-0525.jpg,6768.842,9.8257,57.8904
notumor,no-0526.jpg,6494.0775,10.0056,36.778
notumor,no-0527.jpg,4973.4377,11.1642,30.1783
notumor,no-0528.jpg,172.8262,25.7547,56.6778
notumor,no-0529.jpg,4525.6907,11.574,52.1383
notumor,no-0530.jpg,4307.105,11.7889,43.197
notumor,no-0531.jpg,7972.8683,9.1147,13.1718
notumor,no-0532.jpg,6141.1439,10.2483,23.358
notumor,no-0533.jpg,2912.2277,13.4886,45.1129
notumor,no-0534.jpg,789.8117,19.1556,54.7312
notumor,no-0535.jpg,470.3327,21.4068,39.3617
notumor,no-0536.jpg,5711.0004,10.5637,88.4256
notumor,no-0537.jpg,4977.4489,11.1607,30.7815
notumor,no-0538.jpg,3266.2491,12.9903,48.1554
notumor,no-0539.jpg,8093.7022,9.0493,35.862
notumor,no-0540.jpg,5480.3409,10.7427,35.687
notumor,no-0541.jpg,5339.2873,10.856,38.1498
notumor,no-0542.jpg,6785.7713,9.8148,15.051
notumor,no-0543.jpg,3927.9947,12.1891,47.4489
notumor,no-0544.jpg,3010.1742,13.3449,31.5707
notumor,no-0545.jpg,8498.7818,8.8372,34.9308
notumor,no-0546.jpg,440.8001,21.6884,47.1263
notumor,no-0547.jpg,9607.1185,8.3049,29.0377
